location,lat,long,category,time,time_classification,date,description,reported
Gate C,-1.0922,37.0131,fraud,07:05,morning,2024-07-15,"Wakati nilipokuwa karibu, niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.",yes
Gate B,-1.0932,37.0125,reckless driving,06:52,morning,2025-05-12,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.,no
JKUAT Enterprises LTD.,-1.0915,37.014,reckless driving,10:11,morning,2024-06-13,Kwa macho yangu mwenyewe niliona kwamba mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.,yes
JKUAT Main Gate,-1.0925,37.011,burglary,05:10,night,2025-03-30,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.,no
JKUAT hostels area,-1.09,37.012,battery,10:32,morning,2024-12-28,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku tukio lilivutia watu wengi waliokuwa wakipita.,yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,drug trafficking,11:26,morning,2024-11-22,"Nilipokuwa karibu na eneo hilo, niliona kuwa hakuna aliyekuwa tayari kuingilia kati wakati walionekana wakitumia panga na silaha nyingine.",yes
Juja Stage,-1.099,37.02,sexual harrasment,00:04,night,2024-12-15,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.",no
Gate B,-1.0932,37.0125,drug trafficking,09:48,morning,2025-01-29,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.,yes
JKUAT hostels area,-1.09,37.012,fraud,01:28,night,2025-01-29,"Nilipokuwa karibu na eneo hilo, niliona kuwa mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.",yes
JKUAT Enterprises LTD.,-1.0915,37.014,drug trafficking,20:59,evening,2024-06-17,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.",yes
Gachororo,-1.0905,37.0119,traffic violations,13:37,afternoon,2024-06-03,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.",no
JKUAT Hospital,-1.0948,37.0106,drug trafficking,03:48,night,2024-09-20,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio walionekana wakitumia panga na silaha nyingine.",no
Gate C,-1.0922,37.0131,battery,07:10,morning,2024-10-27,"Wakati nilipokuwa karibu, niliona jinsi watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.",yes
Cherry Park,-1.0948,37.0106,drug possession,16:41,afternoon,2024-06-11,Kwa macho yangu mwenyewe niliona kwamba watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.,yes
Gachororo,-1.0905,37.0119,reckless driving,15:33,afternoon,2024-06-22,Kwa macho yangu mwenyewe niliona kwamba mhalifu alikimbia mara moja baada ya tukio polisi walifika baada ya dakika kadhaa.,no
JKUAT Main Gate,-1.0925,37.011,sexual harrasment,19:51,evening,2024-12-30,"Nilipokuwa karibu na eneo hilo, niliona kuwa majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.",yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,reckless driving,12:37,afternoon,2024-11-29,"Wakati nilipokuwa karibu, niliona jinsi watu walipiga kelele wakitaka msaada huku walionekana wakitumia panga na silaha nyingine.",yes
Cherry Park,-1.0948,37.0106,drug possession,21:17,night,2025-01-01,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa polisi walifika baada ya dakika kadhaa.,no
JKUAT Hospital,-1.0915,37.014,drug possession,04:59,night,2025-05-08,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,no
Juja Market,-1.096,37.0175,kidnapping,08:05,morning,2024-12-26,Mimi binafsi niliona jinsi majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.,yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,robbery,21:27,night,2024-08-03,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa tukio lilivutia watu wengi waliokuwa wakipita.,yes
Gate B,-1.0932,37.0125,battery,12:33,afternoon,2024-10-16,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.",no
Cherry Park,-1.0948,37.0106,fraud,00:42,night,2025-07-09,Kwa macho yangu mwenyewe niliona kwamba mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.,yes
Juja Square,-1.098,37.019,drug trafficking,08:38,morning,2024-07-14,Nilishuhudia tukio hilo ambapo hakuna aliyekuwa tayari kuingilia kati wakati polisi walifika baada ya dakika kadhaa.,yes
Juja Police Station,-1.0915,37.014,drug possession,04:59,night,2025-05-08,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku polisi walifika baada ya dakika kadhaa.,no
Gate B,-1.0932,37.0125,phone snatching,12:16,afternoon,2025-03-18,"Nilipokuwa karibu na eneo hilo, niliona kuwa watu walipiga kelele wakitaka msaada huku kulikuwa na vilio na machafuko makubwa.",no
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,assault,23:59,night,2025-04-18,Kwa macho yangu mwenyewe niliona kwamba mhalifu alikimbia mara moja baada ya tukio kuna mtu alichukua picha kwa kutumia simu.,no
JKUAT Enterprises LTD.,-1.0915,37.014,drug trafficking,05:03,night,2025-04-16,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.,no
Gachororo,-1.0905,37.0119,sexual harrasment,01:16,night,2025-02-12,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio kulikuwa na vilio na machafuko makubwa.",yes
JKUAT SAJOREC Botanical Garden,-1.093,37.0155,assault,02:36,night,2024-05-08,"Wakati nilipokuwa karibu, niliona jinsi hakuna aliyekuwa tayari kuingilia kati wakati tukio lilivutia watu wengi waliokuwa wakipita.",yes
Highpoint,-1.1,37.015,fraud,03:16,night,2025-06-14,Mimi binafsi niliona jinsi watu walipiga kelele wakitaka msaada huku walionekana wakitumia panga na silaha nyingine.,yes
Juja Market,-1.096,37.0175,phone snatching,18:47,evening,2025-01-06,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.,yes
JKUAT hostels area,-1.09,37.012,assault,17:42,evening,2024-11-09,Nilishuhudia tukio hilo ambapo mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.,yes
Juja City Mall,-1.095,37.0165,robbery,14:46,afternoon,2025-04-30,"Wakati nilipokuwa karibu, niliona jinsi mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.",yes
JKUAT Main Gate,-1.0925,37.011,kidnapping,02:45,night,2024-07-07,Mimi binafsi niliona jinsi mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.,no
Gate C,-1.0922,37.0131,robbery,00:02,night,2024-11-14,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.,no
Highpoint,-1.1,37.015,kidnapping,15:47,afternoon,2025-01-17,Kwa macho yangu mwenyewe niliona kwamba hakuna aliyekuwa tayari kuingilia kati wakati tukio lilivutia watu wengi waliokuwa wakipita.,yes
JKUAT Hospital,-1.1,37.015,drug possession,23:07,night,2024-08-02,"Nilipokuwa karibu na eneo hilo, niliona kuwa mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.",yes
Gate C,-1.0922,37.0131,traffic violations,08:25,morning,2024-07-12,Nilishuhudia tukio hilo ambapo mtuhumiwa alikimbilia upande wa walionekana wakitumia panga na silaha nyingine.,no
Juja Square,-1.098,37.019,phone snatching,11:32,morning,2025-02-09,"Nilipokuwa karibu na eneo hilo, niliona kuwa majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.",yes
Juja Stage,-1.099,37.02,assault,05:32,night,2024-06-30,Kwa macho yangu mwenyewe niliona kwamba majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.,no
JKUAT Enterprises LTD.,-1.0915,37.014,drug possession,03:50,night,2024-08-13,Nilishuhudia tukio hilo ambapo watu walipiga kelele wakitaka msaada huku kuna mtu alichukua picha kwa kutumia simu.,no
JKUAT Main Gate,-1.0925,37.011,assault,02:28,night,2024-11-13,"Wakati nilipokuwa karibu, niliona jinsi mhalifu alikimbia mara moja baada ya tukio tukio lilivutia watu wengi waliokuwa wakipita.",no
JKUAT Main Gate,-1.0925,37.011,murder,08:42,morning,2024-06-27,"Wakati nilipokuwa karibu, niliona jinsi mtuhumiwa alikimbilia upande wa kulikuwa na vilio na machafuko makubwa.",yes
Highpoint,-1.1,37.015,domestic violence,15:04,afternoon,2024-06-12,"Wakati nilipokuwa karibu, niliona jinsi majirani walijaribu kuingilia kati lakini polisi walifika baada ya dakika kadhaa.",no
Cherry Park,-1.0948,37.0106,phone snatching,20:30,evening,2025-04-20,Nilishuhudia tukio hilo ambapo majirani walijaribu kuingilia kati lakini kulikuwa na vilio na machafuko makubwa.,yes
